classid,classname,classstarttime,classendtime,classteacher,classlocation,classcost,classtotalstudent,classadddate,classavailable,classtag
279,K-FIT | BLACKPINK,18:00,19:00,C,Studio 2,10,20,2/28/2024,yes,class08
280,K-FIT | BLACKPINK,11:00,12:00,C,Studio 2,10,20,3/2/2024,yes,class08
281,K-FIT | BLACKPINK,12:00,13:00,C,Studio 2,10,20,2/28/2024,yes,class08
282,TWICE | TALK THAT TALK,15:30,17:30,C,Studio 2,16,30,2/24/2024,yes,class03
283,KISS OF LIFE | NOBODY KNOWS,15:30,17:30,D,Studio 2,16,30,2/25/2024,yes,class03
284,B CHOREO,15:30,17:00,B,Studio 1,12,20,2/25/2024,yes,class01
285,IVE | AFTER LIKE,13:00,14:30,C,Studio 1,12,30,3/2/2024,yes,class02
286,TEN | NIGHTWALKER ,13:00,15:00,B,Studio 2,16,30,3/2/2024,yes,class03
287,K-FIT ,11:00,12:00,C,Studio 2,10,20,3/9/2024,yes,class08
288,LE SSERAFIM | EASY,15:30,17:30,C,Studio 2,16,30,3/2/2024,yes,class03
289,ATEEZ | DJANGO,13:00,15:00,A,Studio 2,16,30,3/3/2024,yes,class03
290,TAEMIN | THE RIZZNESS,15:30,17:30,D,Studio 2,16,30,3/3/2024,yes,class03
291,K-FIT,18:00,19:00,C,Studio 2,10,20,3/6/2024,yes,class08
292,TWS | BFF,19:30,21:30,A,Studio 2,16,30,3/6/2024,yes,class03
293,K-FIT,11:00,12:00,C,Studio 2,10,20,3/16/2024,yes,class08
294,VIVIZ | MANIAC,13:00,14:30,C,Studio 1,12,30,3/9/2024,yes,class02
295,NCT 127 | LEMONADE,13:00,15:00,B,Studio 2,16,30,3/9/2024,yes,class03
296,TEN | PERFORMANCE FILM 10,15:30,17:30,D,Studio 2,16,30,3/9/2024,yes,class03
297,NCT WISH | WISH,13:00,15:00,A,Studio 2,16,30,3/10/2024,yes,class03
298,LE SSERAFIM | SWAN SONG,15:30,17:30,C,Studio 2,16,30,3/10/2024,yes,class03
299,K-FIT,18:00,19:00,C,Studio 2,10,20,3/13/2024,yes,class08
300,P1HARMONY | KILLIN' IT,19:30,21:30,D,Studio 2,16,30,3/13/2024,yes,class03
301,LE SSERAFIM | BLUE FLAME,13:00,14:30,C,Studio 1,12,20,3/16/2024,yes,class02
302,AESPA | TRICK OR TRICK,13:00,15:00,B,Studio 2,16,30,3/16/2024,yes,class03
303,EXO | THE EVE,15:30,17:30,D,Studio 2 ,16,30,3/16/2024,yes,class03
304,SEVENTEEN | LILILI YABBAY,13:00,15:00,B,Studio 2,16,30,3/17/2024,yes,class03
305,BTS | MIC DROP,15:30,17:30,A,Studio 2,16,30,3/17/2024,yes,class03
306,K-FIT,11:00,12:00,C,Studio 2,10,20,3/23/2024,yes,class08
307,SEVENTEEN | LEFT & RIGHT,13:00,14:30,C,Studio 1,12,20,3/23/2024,yes,class02
308,K-FIT,11:00,12:00,C,Studio 2,10,20,3/30/2024,yes,class08
309,BLACKINK | PLAYING WITH FIRE,13:00,14:30,C,Studio 1,12,20,3/30/2024,yes,class02
310,A CHOREO,19:30,21:00,A,Studio 2,12,20,3/7/2024,yes,class07
311,C CHOREO,19:30,21:00,C,Studio 2,12,20,3/15/2024,yes,class07
